ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.SubclassesReturnedFromFactoriesNotInjectable,Change factory method return types to reflect their resolved return type,As of Micronaut 3.x It is no longer possible to inject the internal implementation type from beans produced via factories. Factory method return types are changed to reflect the resolved return type if the method returns a single non-null type that does not match the method declaration return type.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpdateSecurityPropertiesIfNeeded,Update relocated Micronaut Security config properties,This recipe will update relocated security config keys in Micronaut configuration property files.,15,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpdateSecurityYamlIfNeeded,Update relocated Micronaut Security config yaml keys,This recipe will update relocated security config keys in Micronaut configuration yaml files.,25,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpgradeMicronautGradlePropertiesVersion,Upgrade gradle.properties Micronaut version,Set the gradle.properties version number according to a node-style semver selector or to a specific version number.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,"[{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An exact version number, or node-style semver selector used to select the version number."",""example"":""4.x"",""required"":true}]",
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpgradeMicronautMavenPropertyVersion,Upgrade `micronaut.version` Maven property,Set the maven micronaut.version property according to a node-style semver selector or to a specific version number.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,"[{""name"":""newVersion"",""type"":""String"",""displayName"":""New version"",""description"":""An exact version number, or node-style semver selector used to select the version number."",""example"":""4.x"",""required"":true}]",
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.AddAnnotationProcessorPath,Add Maven annotation processor path,"Add the groupId, artifactId, version, and exclusions of a Maven annotation processor path.",1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,"[{""name"":""groupId"",""type"":""String"",""displayName"":""GroupId"",""description"":""The groupId to use."",""example"":""corp.internal.openrewrite.recipe"",""required"":true},{""name"":""artifactId"",""type"":""String"",""displayName"":""ArtifactId"",""description"":""The artifactId to use."",""example"":""my-new-annotation-processor"",""required"":true},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""An exact version string for the annotation processor path."",""example"":""${micronaut.validation}"",""required"":true},{""name"":""onlyIfUsing"",""type"":""String"",""displayName"":""Only if using"",""description"":""Used to determine if the annotation processor will be added."",""example"":""jakarta.validation.constraints.*"",""required"":true},{""name"":""exclusions"",""type"":""List"",""displayName"":""Exclusions"",""description"":""A list of exclusions to apply to the annotation processor path in the format groupId:artifactId"",""example"":""io.micronaut:micronaut-inject""}]",
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.AddSnakeYamlDependencyIfNeeded,Add `snakeyaml` dependency if needed,This recipe will add the `snakeyaml` dependency to a Micronaut 4 application that uses yaml configuration.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.CopyNonInheritedAnnotations,Copy non-inherited annotations from super class,As of Micronaut 3.x only [annotations](https://github.com/micronaut-projects/micronaut-core/blob/3.0.x/src/main/docs/guide/appendix/breaks.adoc#annotation-inheritance) that are explicitly meta-annotated with `@Inherited` are inherited from parent classes and interfaces.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.TypeRequiresIntrospection,Add `@Introspected` to classes requiring a map representation,In Micronaut 2.x a reflection-based strategy was used to retrieve that information if the class was not annotated with `@Introspected`. As of Micronaut 3.x it is required to annotate classes with `@Introspected` that are used in this way.,1,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.Micronaut2to3Migration,Migrate from Micronaut 2.x to 3.x,This recipe will apply changes required for migrating from Micronaut 2 to Micronaut 3.,725,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.Micronaut3to4Migration,Migrate from Micronaut 3.x to 4.x,This recipe will apply changes required for migrating from Micronaut 3 to Micronaut 4.,267,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpdateBuildToMicronaut4Version,Update the Micronaut version to 4.x,This recipe will update the Micronaut version to 4.x for a Gradle or Maven build.,5,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-micronaut,org.openrewrite.java.micronaut.UpdateBuildPlugins,Add Micronaut build plugins to 4.x,This recipe will update the shadow jar plugin to 8.x and the Micronaut build plugins to 4.x for a Gradle build.,29,Micronaut,Java,Recipes for upgrading and patching [Micronaut](https://micronaut.io/) applications.,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.maven.table.MavenMetadataFailures"",""displayName"":""Maven metadata failures"",""description"":""Attempts to resolve maven metadata that failed."",""columns"":[{""name"":""group"",""type"":""String"",""displayName"":""Group id"",""description"":""The groupId of the artifact for which the metadata download failed.""},{""name"":""artifactId"",""type"":""String"",""displayName"":""Artifact id"",""description"":""The artifactId of the artifact for which the metadata download failed.""},{""name"":""version"",""type"":""String"",""displayName"":""Version"",""description"":""The version of the artifact for which the metadata download failed.""},{""name"":""mavenRepositoryUri"",""type"":""String"",""displayName"":""Maven repository"",""description"":""The URL of the Maven repository that the metadata download failed on.""},{""name"":""snapshots"",""type"":""String"",""displayName"":""Snapshots"",""description"":""Does the repository support snapshots.""},{""name"":""releases"",""type"":""String"",""displayName"":""Releases"",""description"":""Does the repository support releases.""},{""name"":""failure"",""type"":""String"",""displayName"":""Failure"",""description"":""The reason the metadata download failed.""}]}]"
